wucha_min_ceil,count,mean,std,min,25%,50%,75%,max
3590,1.0,10043499829.0,,10043499829.0,10043499829.0,10043499829.0,10043499829.0,10043499829.0
3592,1.0,10043915106.0,,10043915106.0,10043915106.0,10043915106.0,10043915106.0,10043915106.0
3594,1.0,10043498827.0,,10043498827.0,10043498827.0,10043498827.0,10043498827.0,10043498827.0
3596,3.0,10043426285.333334,696745.1248888171,10042687121.0,10043103943.5,10043520766.0,10043795867.5,10044070969.0
3601,1.0,10044097439.0,,10044097439.0,10044097439.0,10044097439.0,10044097439.0,10044097439.0
3602,1.0,10042703094.0,,10042703094.0,10042703094.0,10042703094.0,10042703094.0,10042703094.0
3603,1.0,10043499831.0,,10043499831.0,10043499831.0,10043499831.0,10043499831.0,10043499831.0
3605,4.0,10043451328.0,568882.8173587245,10042710360.0,10043301675.75,10043498802.0,10043648454.25,10044097348.0
3607,2.0,10043796423.5,434196.797667256,10043489400.0,10043642911.75,10043796423.5,10043949935.25,10044103447.0
3608,2.0,10043808007.0,437279.0761264481,10043498804.0,10043653405.5,10043808007.0,10043962608.5,10044117210.0
3609,2.0,10043209002.5,1274021.864828269,10042308133.0,10042758567.75,10043209002.5,10043659437.25,10044109872.0
3610,4.0,10044134833.75,721801.5718988033,10043498802.0,10043515274.25,10044140224.0,10044759783.5,10044760085.0
3612,1.0,10042722763.0,,10042722763.0,10042722763.0,10042722763.0,10042722763.0,10042722763.0
3614,2.0,10044057104.0,96039.24302075688,10043989194.0,10044023149.0,10044057104.0,10044091059.0,10044125014.0
3615,2.0,10043125591.5,559694.1091922444,10042729828.0,10042927709.75,10043125591.5,10043323473.25,10043521355.0
3616,2.0,10044137140.0,7365.224232839079,10044131932.0,10044134536.0,10044137140.0,10044139744.0,10044142348.0
3617,3.0,10043361290.333334,238167.66702122547,10043086278.0,10043292537.0,10043498796.0,10043498796.5,10043498797.0
3618,2.0,10043818710.5,452420.3536319957,10043498801.0,10043658755.75,10043818710.5,10043978665.25,10044138620.0
3620,1.0,10043498800.0,,10043498800.0,10043498800.0,10043498800.0,10043498800.0,10043498800.0
3621,1.0,10044009119.0,,10044009119.0,10044009119.0,10044009119.0,10044009119.0,10044009119.0
3622,2.0,10043292635.0,291554.26801883726,10043086475.0,10043189555.0,10043292635.0,10043395715.0,10043498795.0
3623,1.0,10044153195.0,,10044153195.0,10044153195.0,10044153195.0,10044153195.0,10044153195.0
3624,2.0,10043123175.0,531185.6850951464,10042747570.0,10042935372.5,10043123175.0,10043310977.5,10043498780.0
3625,1.0,10043520762.0,,10043520762.0,10043520762.0,10043520762.0,10043520762.0,10043520762.0
3627,2.0,10043709596.0,1351139.637491255,10042754196.0,10043231896.0,10043709596.0,10044187296.0,10044664996.0
3629,5.0,10041941599.6,1417224.1159824722,10040906307.0,10040906308.0,10040907210.0,10043489379.0,10043498794.0
3630,1.0,10043497764.0,,10043497764.0,10043497764.0,10043497764.0,10043497764.0,10043497764.0
3631,5.0,10041316711.0,775640.2565400406,10040935569.0,10040980935.0,10040981643.0,10040981644.0,10042703764.0
3632,6.0,10042615974.166666,1910638.7946137192,10040919020.0,10040934504.5,10042250854.5,10044014785.0,10045176633.0
